site_name,target_date,lat,lon,fires_7d_count,fires_30d_count,fire_max_brightness_7d,fire_avg_brightness_7d,fire_max_frp_7d,fire_avg_frp_7d,fires_persistent_days,days_since_last_fire,temp_mean,temp_max,humidity_mean,humidity_min,wind_max,rain_total,dry_days,latitude,longitude,month,season,label,label_meta_detections,label_meta_max_brightness
Jakarta,2025-10-20 00:00:00+00:00,-6.2088,106.8456,0,0,0.0,0.0,0.0,0.0,0,999,29.271428571428572,36.0,72.57142857142857,40,15.4,33.4,3,-6.2088,106.8456,10,3,0,0,0.0
Brisbane,2025-04-21 00:00:00+00:00,-27.4698,153.0251,0,0,0.0,0.0,0.0,0.0,0,999,20.54285714285714,27.2,78.0,44,18.4,3.4000000000000004,5,-27.4698,153.0251,4,1,0,0,0.0
Miami,2025-10-20 00:00:00+00:00,25.7617,-80.1918,0,0,0.0,0.0,0.0,0.0,0,999,26.099999999999994,29.6,68.85714285714286,42,20.9,9.1,5,25.7617,-80.1918,10,3,0,0,0.0
Tampa,2024-12-09 00:00:00+00:00,27.9506,-82.4572,3,3,324.5,320.1666666666667,46.1,37.199999999999996,2,6,13.485714285714286,22.5,67.85714285714286,33,17.3,0.1,7,27.9506,-82.4572,12,0,0,0,0.0
Jakarta,2024-05-06 00:00:00+00:00,-6.2088,106.8456,0,0,0.0,0.0,0.0,0.0,0,999,27.9,33.5,84.0,57,13.7,51.400000000000006,0,-6.2088,106.8456,5,1,0,0,0.0
Portland,2025-09-15 00:00:00+00:00,45.5152,-122.6784,0,0,0.0,0.0,0.0,0.0,0,999,18.7,26.5,72.85714285714286,34,13.3,13.5,4,45.5152,-122.6784,9,3,0,0,0.0
Los Angeles,2025-06-09 00:00:00+00:00,34.0522,-118.2437,0,0,0.0,0.0,0.0,0.0,0,999,18.77142857142857,26.1,73.71428571428571,47,13.4,4.6,6,34.0522,-118.2437,6,2,1,1,346.5
Frankfurt,2024-01-08 00:00:00+00:00,50.1109,8.6821,0,0,0.0,0.0,0.0,0.0,0,999,6.114285714285713,11.0,84.28571428571429,61,33.4,32.60000000000001,4,50.1109,8.6821,1,0,0,0,0.0
München,2024-03-11 00:00:00+00:00,48.1351,11.582,0,0,0.0,0.0,0.0,0.0,0,999,5.628571428571429,17.5,77.28571428571429,40,27.9,16.799999999999997,5,48.1351,11.582,3,1,0,0,0.0
San Francisco,2025-02-24 00:00:00+00:00,37.7749,-122.4194,0,0,0.0,0.0,0.0,0.0,0,999,11.014285714285714,17.3,86.0,47,18.2,1.7,6,37.7749,-122.4194,2,0,0,0,0.0
Berlin,2025-06-16 00:00:00+00:00,52.52,13.405,0,0,0.0,0.0,0.0,0.0,0,999,18.085714285714285,32.8,58.142857142857146,20,23.2,12.0,3,52.52,13.405,6,2,0,0,0.0
Manila,2025-08-04 00:00:00+00:00,14.5995,120.9842,0,0,0.0,0.0,0.0,0.0,0,999,28.914285714285715,32.6,72.57142857142857,53,34.8,22.8,4,14.5995,120.9842,8,2,0,0,0.0
Bangkok,2024-08-05 00:00:00+00:00,13.7563,100.5018,0,0,0.0,0.0,0.0,0.0,0,999,27.642857142857142,31.4,84.85714285714286,66,16.8,59.599999999999994,0,13.7563,100.5018,8,2,0,0,0.0
Sydney,2024-01-22 00:00:00+00:00,-33.8688,151.2093,0,0,0.0,0.0,0.0,0.0,0,999,22.900000000000002,32.8,76.0,41,34.8,81.8,3,-33.8688,151.2093,1,0,0,0,0.0
Brisbane,2024-01-01 00:00:00+00:00,-27.4698,153.0251,0,0,0.0,0.0,0.0,0.0,0,999,25.842857142857145,37.8,77.85714285714286,28,18.9,28.100000000000005,3,-27.4698,153.0251,1,0,0,0,0.0
Denver,2025-04-07 00:00:00+00:00,39.7392,-104.9903,0,4,0.0,0.0,0.0,0.0,0,999,3.485714285714286,14.1,65.85714285714286,15,18.2,3.9,6,39.7392,-104.9903,4,1,0,0,0.0
