site,latitude,longitude,month,season,temp_mean,temp_max,humidity_mean,humidity_min,wind_max,rain_total,dry_days,seasonal_pattern,days_since_last,active_fires_7d,active_fires_3d,fire_max_brightness,fire_avg_brightness,persistent_fires,earthquakes_30d,earthquakes_7d,earthquake_max_mag,earthquake_avg_mag,earthquake_5plus,seismic_trend,event_occurred
Miami,25.7617,-80.1918,11,3,23.848333333333333,24.97,61.333333333333336,53,9.85,1.87,16,0.0,999,45,11,398.66,330.23688888888887,0,0,0,0.0,0.0,0,0.0,0
Miami,25.7617,-80.1918,10,3,23.848333333333333,24.97,61.333333333333336,53,9.85,1.87,16,0.0,999,45,11,398.66,330.23688888888887,0,0,0,0.0,0.0,0,0.0,0
Miami,25.7617,-80.1918,9,3,23.848333333333333,24.97,61.333333333333336,53,9.85,1.87,16,0.0,999,45,11,398.66,330.23688888888887,0,0,0,0.0,0.0,0,0.0,0
Miami,25.7617,-80.1918,8,2,23.848333333333333,24.97,61.333333333333336,53,9.85,1.87,16,0.00011361054305839582,999,45,11,398.66,330.23688888888887,0,0,0,0.0,0.0,0,0.0,0
Miami,25.7617,-80.1918,7,2,23.848333333333333,24.97,61.333333333333336,53,9.85,1.87,16,0.00011361054305839582,999,45,11,398.66,330.23688888888887,0,0,0,0.0,0.0,0,0.0,0
Tampa,27.9506,-82.4572,12,0,20.3125,25.08,66.58333333333333,45,6.19,0.0,24,0.0006816632583503749,999,28,1,396.98,320.33035714285717,0,0,0,0.0,0.0,0,0.0,0
Tampa,27.9506,-82.4572,11,3,20.3125,25.08,66.58333333333333,45,6.19,0.0,24,0.00034083162917518747,26,28,1,396.98,320.33035714285717,0,0,0,0.0,0.0,0,0.0,1
Tampa,27.9506,-82.4572,10,3,20.3125,25.08,66.58333333333333,45,6.19,0.0,24,0.00034083162917518747,-4,28,1,396.98,320.33035714285717,0,0,0,0.0,0.0,0,0.0,1
Tampa,27.9506,-82.4572,9,3,20.3125,25.08,66.58333333333333,45,6.19,0.0,24,0.00034083162917518747,999,28,1,396.98,320.33035714285717,0,0,0,0.0,0.0,0,0.0,0
Tampa,27.9506,-82.4572,8,2,20.3125,25.08,66.58333333333333,45,6.19,0.0,24,0.0015905476028175414,999,28,1,396.98,320.33035714285717,0,0,0,0.0,0.0,0,0.0,0
Tampa,27.9506,-82.4572,7,2,20.3125,25.08,66.58333333333333,45,6.19,0.0,24,0.0015905476028175414,999,28,1,396.98,320.33035714285717,0,0,0,0.0,0.0,0,0.0,0
Tokyo,35.6762,139.6503,12,0,8.893749999999999,13.23,61.291666666666664,39,5.1,14.780000000000001,19,0.0,999,1,0,300.19,300.19,0,2,0,4.9,4.65,0,0.0,0
Tokyo,35.6762,139.6503,11,3,8.893749999999999,13.23,61.291666666666664,39,5.1,14.780000000000001,19,0.00011361054305839582,999,1,0,300.19,300.19,0,2,0,4.9,4.65,0,0.0,0
Tokyo,35.6762,139.6503,10,3,8.893749999999999,13.23,61.291666666666664,39,5.1,14.780000000000001,19,0.00011361054305839582,999,1,0,300.19,300.19,0,2,0,4.9,4.65,0,0.0,0
Tokyo,35.6762,139.6503,9,3,8.893749999999999,13.23,61.291666666666664,39,5.1,14.780000000000001,19,0.00011361054305839582,13,1,0,300.19,300.19,0,2,0,4.9,4.65,0,0.0,1
Tokyo,35.6762,139.6503,8,2,8.893749999999999,13.23,61.291666666666664,39,5.1,14.780000000000001,19,0.0004544421722335833,-17,1,0,300.19,300.19,0,2,0,4.9,4.65,0,0.0,1
Tokyo,35.6762,139.6503,7,2,8.893749999999999,13.23,61.291666666666664,39,5.1,14.780000000000001,19,0.0004544421722335833,5,1,0,300.19,300.19,0,2,0,4.9,4.65,0,0.0,1
Osaka,34.6937,135.5023,12,0,10.739166666666668,13.38,75.29166666666667,39,6.88,25.06,10,0.0,999,6,0,313.35,308.48,1,0,0,0.0,0.0,0,0.0,0
Osaka,34.6937,135.5023,11,3,10.739166666666668,13.38,75.29166666666667,39,6.88,25.06,10,0.0006816632583503749,999,6,0,313.35,308.48,1,0,0,0.0,0.0,0,0.0,0
Osaka,34.6937,135.5023,10,3,10.739166666666668,13.38,75.29166666666667,39,6.88,25.06,10,0.0006816632583503749,999,6,0,313.35,308.48,1,0,0,0.0,0.0,0,0.0,0
Osaka,34.6937,135.5023,9,3,10.739166666666668,13.38,75.29166666666667,39,6.88,25.06,10,0.0006816632583503749,13,6,0,313.35,308.48,1,0,0,0.0,0.0,0,0.0,1
Osaka,34.6937,135.5023,8,2,10.739166666666668,13.38,75.29166666666667,39,6.88,25.06,10,0.00022722108611679165,-17,6,0,313.35,308.48,1,0,0,0.0,0.0,0,0.0,1
Osaka,34.6937,135.5023,7,2,10.739166666666668,13.38,75.29166666666667,39,6.88,25.06,10,0.00022722108611679165,-28,6,0,313.35,308.48,1,0,0,0.0,0.0,0,0.0,1
Manila,14.5995,120.9842,12,0,26.784583333333334,29.74,73.125,61,3.8,2.85,18,0.00011361054305839582,999,0,0,0.0,0.0,0,4,2,4.8,4.55,0,2.142857142857143,0
Manila,14.5995,120.9842,11,3,26.784583333333334,29.74,73.125,61,3.8,2.85,18,0.00034083162917518747,4,0,0,0.0,0.0,0,4,2,4.8,4.55,0,2.142857142857143,1
Manila,14.5995,120.9842,10,3,26.784583333333334,29.74,73.125,61,3.8,2.85,18,0.00034083162917518747,-26,0,0,0.0,0.0,0,4,2,4.8,4.55,0,2.142857142857143,1
Manila,14.5995,120.9842,9,3,26.784583333333334,29.74,73.125,61,3.8,2.85,18,0.00034083162917518747,999,0,0,0.0,0.0,0,4,2,4.8,4.55,0,2.142857142857143,0
Manila,14.5995,120.9842,8,2,26.784583333333334,29.74,73.125,61,3.8,2.85,18,0.0009088843444671666,999,0,0,0.0,0.0,0,4,2,4.8,4.55,0,2.142857142857143,0
Manila,14.5995,120.9842,7,2,26.784583333333334,29.74,73.125,61,3.8,2.85,18,0.0009088843444671666,1,0,0,0.0,0.0,0,4,2,4.8,4.55,0,2.142857142857143,1
Jakarta,-6.2088,106.8456,12,0,29.258333333333336,31.88,65.875,55,5.14,15.610000000000001,10,0.0,999,1,0,304.02,304.02,0,2,0,4.3,4.25,0,0.0,0
Jakarta,-6.2088,106.8456,11,3,29.258333333333336,31.88,65.875,55,5.14,15.610000000000001,10,0.0,999,1,0,304.02,304.02,0,2,0,4.3,4.25,0,0.0,0
Jakarta,-6.2088,106.8456,10,3,29.258333333333336,31.88,65.875,55,5.14,15.610000000000001,10,0.0,999,1,0,304.02,304.02,0,2,0,4.3,4.25,0,0.0,0
Jakarta,-6.2088,106.8456,9,3,29.258333333333336,31.88,65.875,55,5.14,15.610000000000001,10,0.0,999,1,0,304.02,304.02,0,2,0,4.3,4.25,0,0.0,0
Jakarta,-6.2088,106.8456,8,2,29.258333333333336,31.88,65.875,55,5.14,15.610000000000001,10,0.00022722108611679165,10,1,0,304.02,304.02,0,2,0,4.3,4.25,0,0.0,1
Jakarta,-6.2088,106.8456,7,2,29.258333333333336,31.88,65.875,55,5.14,15.610000000000001,10,0.00022722108611679165,-20,1,0,304.02,304.02,0,2,0,4.3,4.25,0,0.0,1
Bangkok,13.7563,100.5018,12,0,29.674166666666665,34.82,43.333333333333336,26,4.09,0.0,24,0.00022722108611679165,10,37,22,330.8,312.49972972972967,1,0,0,0.0,0.0,0,0.0,1
Bangkok,13.7563,100.5018,11,3,29.674166666666665,34.82,43.333333333333336,26,4.09,0.0,24,0.00022722108611679165,-20,37,22,330.8,312.49972972972967,1,0,0,0.0,0.0,0,0.0,1
Bangkok,13.7563,100.5018,10,3,29.674166666666665,34.82,43.333333333333336,26,4.09,0.0,24,0.00022722108611679165,-29,37,22,330.8,312.49972972972967,1,0,0,0.0,0.0,0,0.0,1
Bangkok,13.7563,100.5018,9,3,29.674166666666665,34.82,43.333333333333336,26,4.09,0.0,24,0.00022722108611679165,7,37,22,330.8,312.49972972972967,1,0,0,0.0,0.0,0,0.0,1
Bangkok,13.7563,100.5018,8,2,29.674166666666665,34.82,43.333333333333336,26,4.09,0.0,24,0.0,-23,37,22,330.8,312.49972972972967,1,0,0,0.0,0.0,0,0.0,1
Bangkok,13.7563,100.5018,7,2,29.674166666666665,34.82,43.333333333333336,26,4.09,0.0,24,0.0,999,37,22,330.8,312.49972972972967,1,0,0,0.0,0.0,0,0.0,0
Sydney,-33.8688,151.2093,12,0,21.340000000000003,28.96,66.625,38,9.09,1.72,17,0.00022722108611679165,15,3,1,329.05,316.81333333333333,0,0,0,0.0,0.0,0,0.0,1
Sydney,-33.8688,151.2093,11,3,21.340000000000003,28.96,66.625,38,9.09,1.72,17,0.0,-15,3,1,329.05,316.81333333333333,0,0,0,0.0,0.0,0,0.0,1
Sydney,-33.8688,151.2093,10,3,21.340000000000003,28.96,66.625,38,9.09,1.72,17,0.0,999,3,1,329.05,316.81333333333333,0,0,0,0.0,0.0,0,0.0,0
Sydney,-33.8688,151.2093,9,3,21.340000000000003,28.96,66.625,38,9.09,1.72,17,0.0,29,3,1,329.05,316.81333333333333,0,0,0,0.0,0.0,0,0.0,1
Sydney,-33.8688,151.2093,8,2,21.340000000000003,28.96,66.625,38,9.09,1.72,17,0.00034083162917518747,-1,3,1,329.05,316.81333333333333,0,0,0,0.0,0.0,0,0.0,1
